Name,ID,Country,Website,Groups,Aggregated subsidiaries,Region,Stage,Sector,Description,Description source,Description link,Description date,Publications: AI publications,Publications: Recent AI publication growth,Publications: AI publication percentage,Publications: AI publications in top conferences,Publications: Citations to AI research,Publications: CV publications,Publications: NLP publications,Publications: Robotics publications,Publications: AI safety publications,Publications: Large language model publications,Publications: Total publications,Patents: AI patents,Patents: AI patents: recent growth,Patents: AI patent percentage,Patents: Granted AI patents,Patents: Total patents,Patents: AI use cases: Agriculture,Patents: AI use cases: Banking and finance,Patents: AI use cases: Business,Patents: AI use cases: Computing in government,Patents: AI use cases: Document management and publishing,Patents: AI use cases: Education,Patents: AI use cases: Energy,Patents: AI use cases: Entertainment,Patents: AI use cases: Industry and manufacturing,Patents: AI use cases: Life sciences,Patents: AI use cases: Military,Patents: AI use cases: Nanotechnology,Patents: AI use cases: Networking,Patents: AI use cases: Personal devices and computing,Patents: AI use cases: Physical sciences and engineering,Patents: AI use cases: Security,Patents: AI use cases: Semiconductors,Patents: AI use cases: Telecommunications,Patents: AI use cases: Transportation,Patents: AI applications and techniques: Analytics and algorithms,Patents: AI applications and techniques: Computer vision,Patents: AI applications and techniques: Control,Patents: AI applications and techniques: Distributed AI,Patents: AI applications and techniques: Knowledge representation,Patents: AI applications and techniques: Language processing,Patents: AI applications and techniques: Measuring and testing,Patents: AI applications and techniques: Planning and scheduling,Patents: AI applications and techniques: Robotics,Patents: AI applications and techniques: Speech processing,Workforce: AI workers,Workforce: Tech Team 1 workers,City,State/province,PARAT link
EPAM Systems,6954,United States,https://www.epam.com/,S&P 500,,North America,Mature,Unknown,"EPAM Systems, Inc. is an American company that specializes in software engineering services, digital platform engineering, and digital product design, operating out of Newtown, Pennsylvania. EPAM is a founding member of the MACH Alliance.",wikipedia,https://en.wikipedia.org/wiki/EPAM_Systems,2024-06-04,13,16.666666666666668,10.7,0,127,1,2,0,0,1,122,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,34578,Newtown,Pennsylvania,https://parat.eto.tech/company/6954-epam-systems
DXC Technology,2296,United States,https://dxc.com/,,,North America,Mature,Software & IT Services,"DXC Technology is an IT and consulting services company that offers insurance software, security, and application development services.",crunchbase,https://www.crunchbase.com/organization/dxc-technology,2024-05-16,24,-25.0,19.8,0,152,6,1,0,1,0,121,8,-100.0,8.5,3,94,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,1,3,0,1,0,0,0,0,0,0,0,1050,31533,Ashburn,Virginia,https://parat.eto.tech/company/2296-dxc-technology
Intel,127,United States,http://www.intel.com/,"S&P 500, Global Big Tech",Habana Labs,North America,Mature,Technology Equipment,"Intel designs, manufactures, and sells integrated digital technology platforms worldwide.",crunchbase,https://www.crunchbase.com/organization/intel,2024-05-16,3038,1.706748854117275,18.0,465,152037,1046,220,344,118,79,16857,2191,26.665472529272645,7.8,1136,28254,4,32,69,1,1,9,11,10,33,41,0,3,9,1220,5,147,33,588,220,193,553,250,9,76,12,152,54,0,84,1240,28037,Santa Clara,California,https://parat.eto.tech/company/127-intel
Wells Fargo,807,United States,http://www.wellsfargo.com,S&P 500,,North America,Mature,Banking & Investment Services,"Wells Fargo & Company is a diversified financial services company with $1.3 trillion assets providing banking, insurance, and investments.",crunchbase,https://www.crunchbase.com/organization/wells-fargo-bank,2024-05-16,49,50.0,9.0,0,444,3,5,0,1,1,542,209,69.41192865105909,12.7,144,1641,0,77,77,3,0,3,1,0,0,2,0,0,10,119,1,33,1,67,9,12,5,10,1,35,0,4,47,0,15,3944,27392,San Francisco,California,https://parat.eto.tech/company/807-wells-fargo
Ernst & Young,808,United Kingdom,https://www.ey.com/,,,Europe,Mature,Industrial & Commercial Services,"Ernst & Young is a provider of assurance, tax, transaction, and advisory services.",crunchbase,https://www.crunchbase.com/organization/ernst-young,2024-05-16,51,52.94871794871795,4.0,4,710,9,5,8,0,0,1261,11,175.0,29.7,7,37,0,3,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,4487,27228,London,London,https://parat.eto.tech/company/808-ernst-young
AT&T,805,United States,https://www.att.com/,S&P 500,,North America,Mature,Telecommunications Services,"AT&T is a telecommunications company that provides wireless communications, internet services, digital television, and more.",crunchbase,https://www.crunchbase.com/organization/at-t,2024-05-16,190,-6.275799793601652,9.4,25,15151,20,29,21,9,0,2012,527,101.55826558265584,11.5,319,4587,0,19,93,1,0,6,2,9,2,18,0,1,12,198,1,47,0,347,33,135,40,32,3,29,3,22,52,0,18,1561,26143,Dallas,Texas,https://parat.eto.tech/company/805-at-t
Nokia,949,Finland,http://www.nokia.com,,,Europe,Mature,Technology Equipment,Nokia is a Finnish multinational communications corporation engaged in the manufacturing of mobile devices and network infrastructure.,crunchbase,https://www.crunchbase.com/organization/nokia,2024-05-16,800,1.3989000604826078,9.9,57,49477,209,35,43,24,13,8042,1030,30.521143907771815,6.7,251,15304,0,0,17,0,0,2,2,4,5,42,0,0,2,196,0,34,1,751,8,340,115,20,1,15,0,59,12,0,28,482,25165,Espoo,Uusimaa,https://parat.eto.tech/company/949-nokia
SAP,812,Germany,https://www.sap.com/,,,Europe,Mature,Software & IT Services,"SAP provides enterprise application software to various industries, including consumer, discrete manufacturing, public services.",crunchbase,https://www.crunchbase.com/organization/sap,2024-05-16,184,8.299841675800756,9.6,26,5273,29,47,5,9,9,1926,916,62.77544707178574,16.2,571,5667,1,48,220,1,0,4,1,2,6,5,0,0,9,701,1,76,0,100,2,16,65,12,5,163,20,5,164,0,13,711,23606,Walldorf,Baden-Wurttemberg,https://parat.eto.tech/company/812-sap
Citi,809,United States,https://www.citigroup.com,S&P 500,,North America,Mature,Banking & Investment Services,Citigroup is a financial services holding company that provides various financial products and services.,crunchbase,https://www.crunchbase.com/organization/citigroup,2024-05-16,65,38.05555555555555,5.7,5,535,7,1,21,3,1,1149,14,,20.9,3,67,0,0,2,1,0,1,0,0,0,0,0,0,0,10,0,2,0,5,0,2,0,0,0,0,0,0,1,0,0,3314,23024,New York,New York,https://parat.eto.tech/company/809-citi
Bank of America,811,United States,http://www.bankofamerica.com,S&P 500,,North America,Mature,Banking & Investment Services,"Bank of America is a financial institution that offers credit cards, home loans, and auto loan services.",crunchbase,https://www.crunchbase.com/organization/bank-of-america,2024-05-16,23,159.52380952380952,6.7,0,378,8,3,1,0,0,343,1423,211.8372171563661,26.0,1001,5476,0,218,198,2,1,12,4,7,5,8,0,0,26,981,4,314,0,545,9,100,68,20,15,174,11,11,112,0,78,2659,21969,Charlotte,North Carolina,https://parat.eto.tech/company/811-bank-of-america
Siemens,789,Germany,http://www.siemens.com,,"Mentor Graphics, Siemens Healthineers",Europe,Mature,Industrial Goods,"Siemens is a technology company that offers cybersecurity, digital consulting, and business services.",crunchbase,https://www.crunchbase.com/organization/siemens,2024-05-16,2457,7.991794730925165,10.6,146,64813,876,81,321,76,23,23244,2919,51.838574105426595,8.6,1110,33796,3,18,169,1,0,10,123,1,218,1053,0,1,1,1011,62,77,11,169,82,381,1137,573,1,219,16,448,162,1,25,969,21217,Munich,Bayern,https://parat.eto.tech/company/789-siemens
Huawei,112,China,https://www.huawei.com/,Global Big Tech,,Asia,Mature,Technology Equipment,"Huawei Technologies provides infrastructure application software and devices with wireline, wireless, and IP technologies.",crunchbase,https://www.crunchbase.com/organization/huawei,2024-05-16,4892,36.38937788554157,28.0,1705,135611,1838,719,233,232,448,17478,4813,85.97810692000375,5.6,1375,86059,6,29,171,10,0,8,29,19,44,93,0,2,14,2093,9,165,13,1296,185,419,818,139,10,109,14,181,113,2,208,991,20186,Shenzhen,Guangdong,https://parat.eto.tech/company/112-huawei
Verizon,792,United States,http://www.verizon.com/,S&P 500,,North America,Mature,Telecommunications Services,Verizon Communications is a broadband and telecommunications company that provides information and entertainment services.,crunchbase,https://www.crunchbase.com/organization/verizon,2024-05-16,57,-22.962962962962962,10.2,18,1424,10,6,3,0,0,561,213,-42.20386036242814,35.1,188,607,0,5,57,0,0,1,4,0,0,3,0,0,11,106,0,4,0,74,10,9,25,8,0,25,15,9,10,0,6,1494,19913,New York,New York,https://parat.eto.tech/company/792-verizon
Capital One,371,United States,http://www.capitalone.com,S&P 500,,North America,Mature,Banking & Investment Services,"Capital One is a diversified banking company that offers early and later stage venture, and debt financing investments.",crunchbase,https://www.crunchbase.com/organization/capital-one,2024-05-16,58,33.333333333333336,27.4,10,1165,4,9,3,7,6,212,1467,471.38888888888886,32.4,876,4529,0,388,476,7,1,4,4,1,2,7,1,0,19,937,2,216,0,390,22,57,99,22,8,123,17,34,187,0,87,3331,17344,Mclean,Virginia,https://parat.eto.tech/company/371-capital-one
Salesforce,219,United States,https://www.salesforce.com,S&P 500,,North America,Mature,Software & IT Services,Salesforce is a cloud-based software company that provides customer relationship management software and applications.,crunchbase,https://www.crunchbase.com/organization/salesforce,2024-05-16,552,27.671625547048052,69.4,283,83348,115,245,4,57,138,795,751,84.68394350747292,19.8,471,3786,0,7,119,1,0,2,0,0,3,15,0,0,14,606,0,32,0,133,3,14,66,8,9,114,24,3,66,0,40,822,16623,San Francisco,California,https://parat.eto.tech/company/219-salesforce
Lockheed Martin,553,United States,http://www.lockheedmartin.com,S&P 500,,North America,Mature,Industrial Goods,"Lockheed Martin is a global security and aerospace company specialized in advanced technology systems, products and services.",crunchbase,https://www.crunchbase.com/organization/lockheed-martin,2024-05-16,312,30.34670008354219,10.1,7,4472,89,9,83,7,4,3082,45,13.888888888888888,3.0,25,1486,0,1,0,0,0,0,8,0,4,4,0,0,0,8,4,2,0,5,19,2,4,24,0,2,0,18,0,0,0,584,14451,Bethesda,Maryland,https://parat.eto.tech/company/553-lockheed-martin
Qualcomm,209,United States,http://www.qualcomm.com,S&P 500,,North America,Mature,Technology Equipment,"Qualcomm designs, manufactures, and markets digital wireless telecommunications products and services.",crunchbase,https://www.crunchbase.com/organization/qualcomm,2024-05-16,623,19.898395721925137,15.7,157,27867,296,17,54,23,16,3958,1951,36.277272329281786,5.0,625,39373,1,11,9,0,0,1,2,6,16,22,0,0,1,527,1,52,5,1005,99,280,408,104,1,25,3,197,8,3,93,455,14177,San Diego,California,https://parat.eto.tech/company/209-qualcomm
Meta,87,United States,http://www.facebook.com,"S&P 500, Global Big Tech, GenAI Contenders",,North America,Mature,Software & IT Services,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",crunchbase,https://www.crunchbase.com/organization/facebook,2024-05-16,3032,-16.194171346669652,49.6,1491,489631,1022,867,148,254,364,6108,1072,12.020286037753285,11.9,676,8986,0,8,242,1,0,4,1,17,6,27,0,0,239,683,1,43,7,357,10,54,290,18,1,175,34,17,73,0,76,1902,13309,Menlo Park,California,https://parat.eto.tech/company/87-meta
Adobe,6,United States,http://www.adobe.com,"S&P 500, Global Big Tech, GenAI Contenders",,North America,Mature,Software & IT Services,Adobe is a software company that provides its users with digital marketing and media solutions.,crunchbase,https://www.crunchbase.com/organization/adobe-systems,2024-05-16,2416,7.066178085199824,67.4,1118,149712,1373,382,37,133,128,3584,1787,51.181961313540256,44.5,1168,4014,1,7,191,0,5,4,0,11,1,5,0,0,15,996,0,27,0,201,1,46,939,7,1,123,42,3,45,0,73,1041,13121,San Jose,California,https://parat.eto.tech/company/6-adobe
Fidelity National Information Services,2318,United States,https://www.fisglobal.com/,S&P 500,,North America,Mature,Financial Technology (Fintech) & Infrastructure,"FIS focuses on retail and institutional banking, payments, asset and wealth management, risk and compliance, and outsourcing solutions.",crunchbase,https://www.crunchbase.com/organization/fis,2024-05-16,0,,0.0,0,0,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,12085,Jacksonville,Florida,https://parat.eto.tech/company/2318-fidelity-national-information-services
Nvidia,184,United States,https://www.nvidia.com/,"S&P 500, Global Big Tech",,North America,Mature,Technology Equipment,"NVIDIA is a computing platform company operating at the intersection of graphics, HPC, and AI.",crunchbase,https://www.crunchbase.com/organization/nvidia,2024-05-16,2235,18.07687353712458,47.6,622,181936,1101,171,337,138,120,4691,1457,121.41975308641976,31.0,521,4705,2,5,14,0,0,4,7,32,58,37,0,0,0,666,3,50,59,279,183,108,630,178,5,18,0,99,12,0,79,734,11850,Santa Clara,California,https://parat.eto.tech/company/184-nvidia
Northrop Grumman,599,United States,http://www.northropgrumman.com,S&P 500,,North America,Mature,Industrial Goods,"Northrop Grumman is a global aerospace, defense and security company.",crunchbase,https://www.crunchbase.com/organization/northrop-grumman,2024-05-16,128,-9.444444444444445,6.1,5,3558,18,1,47,8,1,2096,48,50.0,4.1,31,1174,0,1,4,0,0,1,0,0,4,2,0,1,0,29,1,8,0,10,14,5,4,16,2,4,0,8,4,0,0,329,11787,Falls Church,Virginia,https://parat.eto.tech/company/599-northrop-grumman
Morgan Stanley,585,United States,http://www.morganstanley.com,S&P 500,,North America,Mature,Banking & Investment Services,"Morgan Stanley is a financial services company that offers securities, asset management, and credit services.",crunchbase,https://www.crunchbase.com/organization/morgan-stanley,2024-05-16,77,96.66666666666667,3.7,18,1305,8,9,9,8,4,2087,33,-60.0,20.0,24,165,0,6,10,0,0,1,0,0,0,0,0,0,0,23,0,4,0,9,1,6,0,2,1,9,0,0,5,0,0,1717,11462,New York,New York,https://parat.eto.tech/company/585-morgan-stanley
UnitedHealth Group,818,United States,https://www.unitedhealthgroup.com/,S&P 500,,North America,Mature,Healthcare Services & Equipment,"UnitedHealth Group is a healthcare insurance company that offers health technology, health financial, and pharmacy services.",crunchbase,https://www.crunchbase.com/organization/unitedhealth-group,2024-05-16,16,66.66666666666667,4.0,2,100,1,10,1,0,2,397,347,627.7777777777777,49.2,145,705,0,32,43,2,0,2,0,0,0,127,0,0,0,193,1,17,0,22,4,24,27,6,0,72,0,4,30,0,16,2183,11332,Minnetonka,Minnesota,https://parat.eto.tech/company/818-unitedhealth-group
Comcast,396,United States,http://corporate.comcast.com,S&P 500,,North America,Mature,Telecommunications Services,Comcast is a media and technology company that connects millions of people to the moments and experiences that matter most.,crunchbase,https://www.crunchbase.com/organization/comcast,2024-05-16,72,-15.833333333333334,18.4,28,5265,30,18,2,5,0,391,92,158.33333333333334,3.9,46,2376,0,2,9,0,0,0,0,28,0,0,0,0,3,40,0,11,0,38,3,11,21,8,0,3,0,6,4,0,8,1006,11064,Philadelphia,Pennsylvania,https://parat.eto.tech/company/396-comcast
Boeing,784,United States,https://www.boeing.com/,S&P 500,,North America,Mature,Industrial Goods,"Boeing Company manufactures and sells aircraft, rotorcraft, rockets, and satellites and provides product leasing and support services.",crunchbase,https://www.crunchbase.com/organization/the-boeing-company,2024-05-16,248,-6.913951545530492,8.6,4,6786,44,3,115,6,0,2883,479,62.34737484737485,4.5,273,10578,0,46,100,0,0,8,7,1,36,19,4,1,0,223,8,23,1,70,193,60,84,228,4,28,4,101,98,1,12,541,11025,Chicago,Illinois,https://parat.eto.tech/company/784-boeing
American Express,328,United States,http://www.americanexpress.com,S&P 500,,North America,Mature,Banking & Investment Services,"American Express is a global financial services company best known for its credit card, charge card, and traveler’s cheque businesses.",crunchbase,https://www.crunchbase.com/organization/americanexpress,2024-05-16,31,-36.111111111111114,28.2,6,262,2,13,0,0,4,110,67,37.77777777777778,15.1,42,443,0,20,20,0,0,0,0,0,0,0,0,0,0,40,0,10,0,22,0,2,0,1,0,7,2,0,8,0,2,2233,10745,New York,New York,https://parat.eto.tech/company/328-american-express
Mastercard,2409,United States,https://mastercard.com/,S&P 500,,North America,Mature,Software & IT Services,MasterCard provides payment processing products and solutions and related consulting services.,crunchbase,https://www.crunchbase.com/organization/mastercard,2024-05-16,24,58.333333333333336,40.0,1,52,2,2,0,1,0,60,237,37.09045584045584,7.2,93,3313,0,147,79,0,0,0,0,0,0,4,0,0,2,102,0,32,0,56,0,4,7,2,3,27,2,2,40,0,5,796,10685,Purchase,New York,https://parat.eto.tech/company/2409-mastercard
Barclays,1230,United Kingdom,https://www.barclays.co.uk/,,,Europe,Mature,Banking & Investment Services,Barclays is a global financial services company that provides various financial products and services worldwide.,crunchbase,https://www.crunchbase.com/organization/barclays-plc,2024-05-16,23,-50.0,8.0,0,199,3,2,1,1,2,288,0,,0.0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235,10527,London,England,https://parat.eto.tech/company/1230-barclays
Samsung,671,South Korea,https://www.samsung.com/,,,Asia,Mature,Technology Equipment,"Samsung Electronics is an electronics company that engages in consumer electronics, IT and mobile communications, and device solutions.",crunchbase,https://www.crunchbase.com/organization/samsung-electronics,2024-05-16,3534,3.149725893069855,14.2,611,89885,1446,496,323,88,146,24870,7228,55.6591514506695,5.3,2567,135782,1,44,276,1,3,26,134,54,196,395,0,9,56,3300,85,284,249,2213,218,759,2223,356,6,198,59,419,92,4,773,659,10407,Seoul,Seoul-T'ukpyolsi,https://parat.eto.tech/company/671-samsung
Ford Motor Company,456,United States,http://www.forddirect.com,S&P 500,,North America,Mature,Automobiles & Auto Parts,"Ford Motor is an automotive company that develops, manufactures, and distributes vehicles, parts, and accessories.",crunchbase,https://www.crunchbase.com/organization/ford,2024-05-16,438,14.631773693005492,9.5,23,10415,97,10,177,47,2,4607,1065,0.6179441473559123,4.2,593,25068,2,99,91,5,0,15,50,0,41,15,0,0,3,317,27,44,2,209,759,50,312,528,0,13,3,309,72,0,28,1212,10352,Dearborn,Michigan,https://parat.eto.tech/company/456-ford-motor-company
Fujitsu,1125,Japan,http://www.fujitsu.com,,,Asia,Mature,Software & IT Services,Fujitsu is a information & communications technology equipment and services firm providing IT & IT infrastructure and other services.,crunchbase,https://www.crunchbase.com/organization/fujitsu,2024-05-16,769,10.706769645448889,17.8,51,10387,249,83,59,28,20,4328,2055,32.224768695356936,7.9,792,26171,1,74,161,11,0,5,17,8,31,111,0,1,12,1071,13,76,5,170,29,95,311,82,3,181,28,37,115,0,34,193,10297,Tokyo,Kantō,https://parat.eto.tech/company/1125-fujitsu
General Motors,820,United States,https://www.gm.com,S&P 500,,North America,Mature,Automobiles & Auto Parts,"General Motors manufactures, markets, and distributes vehicles and vehicle parts.",crunchbase,https://www.crunchbase.com/organization/general-motors,2024-05-16,263,4.883040935672515,6.8,14,11536,34,4,120,19,0,3890,1024,60.130889468637825,6.1,549,16672,2,92,84,3,0,4,46,2,20,14,0,0,3,287,25,11,3,204,783,101,209,574,2,27,5,352,62,1,28,718,10073,Detroit,Michigan,https://parat.eto.tech/company/820-general-motors
PayPal,195,United States,https://www.paypal.com/home,S&P 500,,North America,Mature,Financial Technology (Fintech) & Infrastructure,PayPal is a financial service company that provides online payment solutions to its users worldwide.,crunchbase,https://www.crunchbase.com/organization/paypal,2024-05-16,30,91.66666666666667,15.1,6,384,3,6,1,2,0,199,414,80.88643790849673,24.0,244,1723,0,148,89,1,0,1,2,0,0,0,0,0,13,265,1,71,0,93,0,7,14,1,4,41,5,0,28,0,5,1538,9519,San Jose,California,https://parat.eto.tech/company/195-paypal
Visa,2190,United States,https://visa.com,S&P 500,,North America,Mature,Software & IT Services,Visa is a multinational financial services company that facilitates electronic payment systems throughout the world.,crunchbase,https://www.crunchbase.com/organization/visa,2024-05-16,115,88.01169590643275,21.1,30,4279,19,7,0,15,7,545,319,448.69693148381674,18.8,153,1694,0,124,86,0,0,0,0,1,0,0,0,0,3,156,0,39,0,54,1,4,17,3,3,39,1,1,30,0,3,1033,9467,San Francisco,California,https://parat.eto.tech/company/2190-visa
